"","roomType","city","long","lat","price"
"395","Entire home/apt","Boston",-71.084458,42.34838,349
"396","Entire home/apt","Boston",-71.079394,42.345191,349
"397","Entire home/apt","Boston",-71.078624,42.345881,349
"398","Entire home/apt","Boston",-71.076145,42.352642,350
"399","Entire home/apt","Boston",-71.079087,42.344899,350
"400","Entire home/apt","Boston",-71.087081,42.352004,350
"401","Entire home/apt","Boston",-71.078458,42.344904,350
"402","Entire home/apt","Boston",-71.078297,42.345966,350
"403","Entire home/apt","Boston",-71.078722,42.351738,350
"404","Entire home/apt","Boston",-71.084882,42.347946,356
"405","Entire home/apt","Boston",-71.074377,42.356271,359
"406","Entire home/apt","Boston",-71.084527,42.349237,360
"407","Entire home/apt","Boston",-71.080672,42.345637,375
"408","Entire home/apt","Boston",-71.072179,42.355887,389
"409","Private room","Boston",-71.073005,42.355365,389
"410","Entire home/apt","Boston",-71.085035,42.349857,389
"411","Entire home/apt","Boston",-71.072411,42.354497,395
"412","Entire home/apt","Boston",-71.077405,42.354141,400
"413","Entire home/apt","Boston",-71.081786,42.344471,449
"414","Entire home/apt","Boston",-71.079019,42.352971,450
"415","Entire home/apt","Boston",-71.077722,42.351285,450
"416","Entire home/apt","Boston",-71.072751,42.355804,451
"417","Entire home/apt","Boston",-71.074242,42.356142,451
"418","Entire home/apt","Boston",-71.084729,42.349109,480
"419","Entire home/apt","Boston",-71.072211,42.355165,489
"420","Entire home/apt","Boston",-71.080075,42.344502,500
"421","Entire home/apt","Boston",-71.078746,42.344877,549
"422","Entire home/apt","Boston",-71.08495,42.347617,550
"423","Entire home/apt","Boston",-71.084005,42.343667,550
"424","Entire home/apt","Boston",-71.079994,42.34466,550
"425","Entire home/apt","Boston",-71.070345,42.35037,550
"426","Entire home/apt","Boston",-71.076639,42.348072,600
"427","Entire home/apt","Boston",-71.091188,42.349106,650
"428","Entire home/apt","Boston",-71.08462,42.347926,700
"429","Entire home/apt","Boston",-71.084352,42.351257,1100
"430","Entire home/apt","Boston",-71.06765,42.34982,1200
"431","Private room","Somerville",-71.087765,42.393902,70
"432","Entire home/apt","Boston",-71.071764,42.353487,249
"433","Entire home/apt","Boston",-71.054932,42.364272,240
"434","Entire home/apt","Boston",-71.070169,42.382364,695
"435","Entire home/apt","Cambridge",-71.113431,42.369192,249
"436","Entire home/apt","Boston",-71.062464,42.376944,200
"437","Private room","Boston",-71.064625,42.361281,110
"438","Private room","Boston",-71.065058,42.361045,50
"439","Private room","Boston",-71.072721,42.357993,65
"440","Entire home/apt","Boston",-71.068318,42.360092,69
"441","Shared room","Boston",-71.068603,42.359844,74
"442","Shared room","Boston",-71.0684,42.360204,75
"443","Private room","Boston",-71.067293,42.360408,79
"444","Private room","Boston",-71.067974,42.361192,80
"445","Entire home/apt","Boston",-71.066648,42.358763,89
"446","Private room","Boston",-71.066182,42.357056,90
"447","Entire home/apt","Boston",-71.06532,42.361087,99
"448","Private room","Boston",-71.06685,42.360261,99
"449","Entire home/apt","Boston",-71.065625,42.361079,99
"450","Entire home/apt","Boston",-71.071165,42.359234,99
"451","Private room","Boston",-71.064038,42.360982,100
"452","Entire home/apt","Boston",-71.072611,42.355883,100
"453","Entire home/apt","Boston",-71.06849,42.360412,105
