Key,X,radius,yaxis,Y,room_id,host_id,room_type,type_num,country,city,neighborhood,address,reviews,overall_sa,accommodat,bedrooms,bathrooms,price,price2,deleted,minstay,timestamp,latitude,longitude,survey_i,town_id,town,subregion,COUNT
843,-71.130722,3,351.045481,42.355729,3677662,660123,Private room,2,United States,Boston,Allston-Brighton,Park Vale Avenue,20,5,2,1,1,85,170,0,3,16:15.1,42.355729,-71.130722,1,35,Boston,INNER CORE,1
3591,-71.130344,3,353.6672666,42.353359,10810,38440,Entire home/apt,1,United States,Boston,Allston-Brighton,Farrington Ave,0,0,5,2,1,85,170,0,4,32:16.6,42.353359,-71.130344,2,35,Boston,INNER CORE,1
3594,-71.150184,3,353.6626179,42.339366,6901013,36162929,Entire home/apt,1,United States,Boston,Allston-Brighton,Chiswick Road,0,0,3,2,1,85,170,0,2,19:01.3,42.339366,-71.150184,2,35,Boston,INNER CORE,1
3194,-71.12634,3,350.2064727,42.351456,7067397,29407427,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,0,0,2,1,1,85,170,0,1,10:24.5,42.351456,-71.12634,1,35,Boston,INNER CORE,1
3233,-71.162519,3,353.7498621,42.349076,5919411,30708897,Private room,2,United States,Boston,Allston-Brighton,Dickinson Road,0,0,2,1,1,85,170,0,1,54:39.5,42.349076,-71.162519,1,35,Boston,INNER CORE,1
1152,-71.151437,3,352.6037743,42.33719,1185034,6481306,Private room,2,United States,Boston,Allston-Brighton,Commonwealth Avenue,13,4.5,5,1,1,89,178,0,1,01:49.2,42.33719,-71.151437,1,35,Boston,INNER CORE,1
1726,-71.125513,3,354.1683574,42.36115,5967421,26956083,Private room,2,United States,Boston,Allston-Brighton,West Sorrento Street,6,4.5,2,1,1,89,178,0,2,15:16.9,42.36115,-71.125513,1,35,Boston,INNER CORE,1
1350,-71.12532,3,350.4149218,42.361265,5870922,26956083,Private room,2,United States,Boston,Allston-Brighton,West Sorrento Street,10,5,2,1,1,89,178,0,2,39:40.6,42.361265,-71.12532,1,35,Boston,INNER CORE,1
748,-71.121702,3,353.9434972,42.357029,2569369,13155584,Shared room,3,United States,Boston,Allston-Brighton,Gardner Street,24,5,2,1,1,89,178,0,1,29:04.3,42.357029,-71.121702,2,35,Boston,INNER CORE,1
3213,-71.128744,3,353.4184214,42.35181,6704828,19679943,Private room,2,United States,Boston,Allston-Brighton,Chester Street,0,0,2,1,1,89,178,0,1,49:39.4,42.35181,-71.128744,1,35,Boston,INNER CORE,1
